test_id,course,store_type,query,expected_keywords,precision_at_3,latency_seconds,answer_relevance,faithfulness,answer_preview,precision_detail,relevance_reason,faithfulness_reason,errors
1,Cosc 402 (Information Theory),notes,What are the main topics covered in this course?,,1.0,2.412,4,5,"Based on the context provided, the course appears to cover the principles of **communication theory** and its applications to various forms of **text**, including reports, papers, memos, books, and scientific data.",Chunk 1: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx | Chunk 2: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx | Chunk 3: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx,The answer identifies the main topics but could be more specific about the 'various forms of text'.,"The answer accurately identifies communication theory and its applications to various forms of text, all of which are directly mentioned in the provided context.",
2,Cosc 402 (Information Theory),notes,Explain the most important concept in this course.,,1.0,1.318,5,5,"The most important concept in this course is **information**, which is understood as a quantifiable entity attached to events in probabilistic experiments or random phenomena. It's central because it dictates how to efficiently encode messages for transmission and understand the possibility of error",Chunk 1: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx | Chunk 2: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx | Chunk 3: ✅ [(no keywords defined)] src=CSC 402 Information theory3 (2).pptx,"The answer directly identifies the most important concept and clearly explains its significance within the context of the course, aligning perfectly with the question's request.","The answer accurately identifies 'information' as the key concept and correctly links its definition to events in probabilistic experiments and random phenomena, as stated in the context.",
3,Cosc 402 (Information Theory),exams,Give me a sample past exam question from this course.,,1.0,0.92,2,4,"Here's a sample past exam question from COSC 402 (Information Theory):  ""Suppose DR Charles is the final clearance officer in the academic registry. What is the probability that..."" (The question is incomplete in the provided context).",Chunk 1: ✅ [(no keywords defined)] src=COSC402 MID SEM 18_19.pdf | Chunk 2: ✅ [(no keywords defined)] src=COSC402 MID SEM 18_19.pdf | Chunk 3: ✅ [(no keywords defined)] src=2ef93aed-70fb-4143-9b25-c362d9bd9006.jpg,"The answer provides a course name but the sample question is incomplete, making it impossible to fully assess its relevance or clarity.","The answer accurately identifies the course and presents the beginning of a question from the provided text, acknowledging its incompleteness as per the context.",
4,Cosc 423 (Artificial Intelligence),notes,What are the main topics covered in this course?,,1.0,1.043,2,4,"The main topics covered in the course are outlined in Figure 1 (page xvi), with solid lines indicating prerequisite relationships between them. The book is structured to allow flexibility in topic order as long as prerequisite requirements are met.","Chunk 1: ✅ [(no keywords defined)] src=Artificial Intelligence A Modern Approach, Global Edition (Stuart J. Russell, Peter Norvig) (z-lib.org).pdf | Chunk 2: ✅ [(no keywords defined)] src=2022_2023 Course Outline-AI.pdf | Chunk 3: ✅ [(no keywords defined)] src=Artificial Intelligence Foundations of Computational Agents (David L. Poole, Alan K. Mackworth) (z-lib.org).pdf","The answer does not list the main topics covered in the course, but instead refers the user to a figure and mentions the flexibility of the course structure.","The answer accurately reflects the context by stating that Figure 1 outlines the topics and mentions the prerequisite structure, while implicitly acknowledging that the full list of topics is not provided in the text itself.",
5,Cosc 423 (Artificial Intelligence),notes,Explain the most important concept in this course.,,1.0,1.107,3,4,"Based on the provided context, the most important concept in COSC 423 appears to be **understanding the requirements and elements for successful navigation of the course.**  The context highlights the introduction of ""course requirements"" and emphasizing ""various elements that would be required to s","Chunk 1: ✅ [(no keywords defined)] src=2022_2023 Course Outline-AI.pdf | Chunk 2: ✅ [(no keywords defined)] src=Artificial Intelligence Foundations of Computational Agents (David L. Poole, Alan K. Mackworth) (z-lib.org).pdf | Chunk 3: ✅ [(no keywords defined)] src=2022_2023 Course Outline-AI.pdf","The answer identifies a plausible important concept based on the provided text but doesn't definitively explain the *most* important concept as requested, as it focuses on navigating the course itself rather than a subject matter concept.","The answer correctly identifies the main theme of understanding course requirements from the context, and accurately notes that the specific questions about examples and computation are presented as inquiries rather than core concepts themselves.",
6,Cosc 423 (Artificial Intelligence),exams,Give me a sample past exam question from this course.,,1.0,0.785,5,5,"Here's a sample past exam question based on the provided context:  Attempt FOUR questions in all. Question ONE and any other three of your choice.  **Question 1:** An intelligent agent learns from its environment, reasons based on past percepts, and acts based on its current percept. Discuss how all",Chunk 1: ✅ [(no keywords defined)] src=EXAM 16_17.docx | Chunk 2: ✅ [(no keywords defined)] src=COSC423 MID SEM 19_20 TYPE 3.pdf | Chunk 3: ✅ [(no keywords defined)] src=COSC423 EXAM 18_19.pdf,The answer directly provides a sample past exam question as requested and includes instructions relevant to a hypothetical exam.,The answer is a direct reproduction of the instructions and the sample question provided in the context.,
7,Cosc 430 (Hands On Java),notes,What are the main topics covered in this course?,,1.0,0.798,5,5,"The main topics covered in this course are:  *   Core APIs for designing object-oriented applications in Java. *   Writing database programs with JDBC. *   Developing skills for the Oracle Certified Professional, Java SE 8 Programmer Exam.",Chunk 1: ✅ [(no keywords defined)] src=JAVA SE8 Programming V1.pdf | Chunk 2: ✅ [(no keywords defined)] src=JAVA SE8 Programming V1.pdf | Chunk 3: ✅ [(no keywords defined)] src=JAVA SE8 Programming V2.pdf,The answer directly lists the main topics covered in the course as requested by the question.,The answer accurately identifies all the main topics mentioned in the 'Course Goals' section of the provided context.,
8,Cosc 430 (Hands On Java),notes,Explain the most important concept in this course.,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=JAVA SE8 Programming V1.pdf | Chunk 2: ✅ [(no keywords defined)] src=JAVA SE8 Programming V1.pdf | Chunk 3: ✅ [(no keywords defined)] src=JAVA SE8 Programming V1.pdf,,,Latency: Latency error: RuntimeError('Gemini call failed after 5 retries. Daily quota likely exhausted — run again tomorrow.'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
9,Itgy 307 (Linux Fundamentals),notes,What are the main topics covered in this course?,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=Module-5-Using Linux Text Editors.pptx | Chunk 2: ✅ [(no keywords defined)] src=Module-4-Linux Installation-How to.pptx | Chunk 3: ✅ [(no keywords defined)] src=Module-4-Linux Installation-How to.pptx,,,Latency: Latency error: RuntimeError('Gemini call failed after 5 retries. Daily quota likely exhausted — run again tomorrow.'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
10,Itgy 307 (Linux Fundamentals),notes,Explain the most important concept in this course.,,1.0,,,,,Chunk 1: ✅ [(no keywords defined)] src=Module-1-Fundamental of Linux System Administration.pptx | Chunk 2: ✅ [(no keywords defined)] src=Module-4-Linux Installation-How to.pptx | Chunk 3: ✅ [(no keywords defined)] src=Module-1-Fundamental of Linux System Administration.pptx,,,Latency: Latency error: RuntimeError('Gemini call failed after 5 retries. Daily quota likely exhausted — run again tomorrow.'); Relevance: No valid answer to evaluate; Faithfulness: Missing answer or context
